param	date	value	month	season	fraction	measurement	metabolite_class
1-oleoylglycerol_snp	2011-04-05	-0.34126540679557177	04	Spring	extracellular	snp	lipid related
2-oleoylglycerol_bnp	2011-04-05	-0.39296810796528553	04	Spring	intracellular	bnp	lipid related
2-oleoylglycerol_ratio	2011-04-05	2.994543542576842	04	Spring	ratio	ratio	lipid related
2-oleoylglycerol_snp	2011-04-05	-0.32328904106349743	04	Spring	extracellular	snp	lipid related
alanine_bp	2011-04-05	0.4759055223272796	04	Spring	intracellular	bp	amino acid
alanine_sp	2011-04-05	2.11099850668656	04	Spring	extracellular	sp	amino acid
aspartic acid_ratio	2011-04-05	-0.48904363020046215	04	Spring	ratio	ratio	amino acid
BB1_dry-mass_pcparams	2011-04-05	-0.3576246070597855	04	Spring	online	pcparams	NA
BB1_pH_pcparams	2011-04-05	0.31014569890473564	04	Spring	online	pcparams	pH
cellobiose_sp	2011-04-05	-0.32208287828917725	04	Spring	extracellular	sp	carbohydrate
cholesterol_ratio	2011-04-05	-0.35803659478072164	04	Spring	ratio	ratio	lipid related
cholesterol_snp	2011-04-05	0.26966367343473036	04	Spring	extracellular	snp	lipid related
glutamic acid_ratio	2011-04-05	-0.6071979838313495	04	Spring	ratio	ratio	amino acid
glyceric acid_ratio	2011-04-05	-0.26619428011944174	04	Spring	ratio	ratio	lipid related
glycerol 2-phosphate_ratio	2011-04-05	-0.6195646586168837	04	Spring	ratio	ratio	lipid related
glycerol_bp	2011-04-05	-0.29113888727268233	04	Spring	intracellular	bp	lipid related
glycerol_sp	2011-04-05	-0.02288027082681377	04	Spring	extracellular	sp	lipid related
glycerol-3-phosphate_ratio	2011-04-05	0.008402833024574912	04	Spring	ratio	ratio	lipid related
hexadecanoic acid_snp	2011-04-05	-0.2247032123105405	04	Spring	extracellular	snp	lipid related
hexadecenoic acid_snp	2011-04-05	-0.1403533271467911	04	Spring	extracellular	snp	lipid related
lactose_ratio	2011-04-05	0.3216562877177966	04	Spring	ratio	ratio	carbohydrate
lactose_sp	2011-04-05	-0.2425417006269942	04	Spring	extracellular	sp	carbohydrate
mannitol_ratio	2011-04-05	-0.265029607139757	04	Spring	ratio	ratio	carbohydrate
mannose_bp	2011-04-05	0.008650993899704178	04	Spring	intracellular	bp	carbohydrate
mannose_ratio	2011-04-05	0.047691255569523236	04	Spring	ratio	ratio	carbohydrate
mannose_sp	2011-04-05	-0.32343886263553195	04	Spring	extracellular	sp	carbohydrate
nitrate_pcparams	2011-04-05	-0.6176821109119761	04	Spring	online	pcparams	NA
octadecadienoic acid_snp	2011-04-05	-0.3350400704498962	04	Spring	extracellular	snp	lipid related
octadecan-1-ol_snp	2011-04-05	-0.12190319382603837	04	Spring	extracellular	snp	lipid related
octadecenoic acid_snp	2011-04-05	-0.30320950812683534	04	Spring	extracellular	snp	lipid related
outflow conductivity_pcparams	2011-04-05	-0.5401360503551953	04	Spring	online	pcparams	conductivity
proline_ratio	2011-04-05	-0.4859596836342028	04	Spring	ratio	ratio	amino acid
putrescine_bp	2011-04-05	0.02796851518589972	04	Spring	intracellular	bp	organonitrogen compound
putrescine_ratio	2011-04-05	-0.5293218599720454	04	Spring	ratio	ratio	organonitrogen compound
serine_ratio	2011-04-05	-0.5677042150079934	04	Spring	ratio	ratio	amino acid
sucrose_ratio	2011-04-05	-0.6602284096573188	04	Spring	ratio	ratio	carbohydrate
threonine_ratio	2011-04-05	-0.5055499036478419	04	Spring	ratio	ratio	amino acid
1-monopalmitoylglycerol_bnp	2011-04-14	-0.4225718440227243	04	Spring	intracellular	bnp	lipid related
1-monopalmitoylglycerol_snp	2011-04-14	-0.3848289696650288	04	Spring	extracellular	snp	lipid related
1-oleoylglycerol_bnp	2011-04-14	-0.4243510034508519	04	Spring	intracellular	bnp	lipid related
1-oleoylglycerol_snp	2011-04-14	-0.3558250664049707	04	Spring	extracellular	snp	lipid related
2-oleoylglycerol_bnp	2011-04-14	-0.3735804801623814	04	Spring	intracellular	bnp	lipid related
2-oleoylglycerol_ratio	2011-04-14	4.542179567804837	04	Spring	ratio	ratio	lipid related
2-oleoylglycerol_snp	2011-04-14	-0.3304115341256115	04	Spring	extracellular	snp	lipid related
alanine_bp	2011-04-14	2.077000757603262	04	Spring	intracellular	bp	amino acid
alanine_sp	2011-04-14	0.7157956586446355	04	Spring	extracellular	sp	amino acid
aspartic acid_ratio	2011-04-14	-0.4271434350295229	04	Spring	ratio	ratio	amino acid
BB1_dry-mass_pcparams	2011-04-14	-0.25778922775676927	04	Spring	online	pcparams	NA
BB1_pH_pcparams	2011-04-14	0.985708942520235	04	Spring	online	pcparams	pH
cellobiose_sp	2011-04-14	-0.6121026453589704	04	Spring	extracellular	sp	carbohydrate
cholesterol_ratio	2011-04-14	-0.3231052791145934	04	Spring	ratio	ratio	lipid related
cholesterol_snp	2011-04-14	-0.24105269628070328	04	Spring	extracellular	snp	lipid related
glutamic acid_ratio	2011-04-14	-0.49137199022756006	04	Spring	ratio	ratio	amino acid
glyceric acid_ratio	2011-04-14	0.10820612113614093	04	Spring	ratio	ratio	lipid related
glycerol 2-phosphate_ratio	2011-04-14	-0.5863532671673605	04	Spring	ratio	ratio	lipid related
glycerol_bp	2011-04-14	-0.3629379087237082	04	Spring	intracellular	bp	lipid related
glycerol_sp	2011-04-14	-0.5293122240519177	04	Spring	extracellular	sp	lipid related
glycerol-3-phosphate_ratio	2011-04-14	-0.40369872160178494	04	Spring	ratio	ratio	lipid related
hexadecanoic acid_snp	2011-04-14	-0.30549602773491374	04	Spring	extracellular	snp	lipid related
hexadecenoic acid_snp	2011-04-14	-0.4558150092552107	04	Spring	extracellular	snp	lipid related
lactose_ratio	2011-04-14	2.4120998551434902	04	Spring	ratio	ratio	carbohydrate
lactose_sp	2011-04-14	-0.4559727785743442	04	Spring	extracellular	sp	carbohydrate
mannitol_ratio	2011-04-14	-0.06770702570579291	04	Spring	ratio	ratio	carbohydrate
mannose_bp	2011-04-14	0.18705899249200483	04	Spring	intracellular	bp	carbohydrate
mannose_ratio	2011-04-14	0.2069959275286802	04	Spring	ratio	ratio	carbohydrate
mannose_sp	2011-04-14	-0.4933132743053307	04	Spring	extracellular	sp	carbohydrate
nitrate_pcparams	2011-04-14	-0.55028957612895	04	Spring	online	pcparams	NA
octadecadienoic acid_snp	2011-04-14	-0.35970595534933086	04	Spring	extracellular	snp	lipid related
octadecan-1-ol_snp	2011-04-14	-0.33611228870552906	04	Spring	extracellular	snp	lipid related
octadecenoic acid_snp	2011-04-14	-0.3653214908067243	04	Spring	extracellular	snp	lipid related
outflow conductivity_pcparams	2011-04-14	0.6835075195053264	04	Spring	online	pcparams	conductivity
proline_ratio	2011-04-14	-0.37498318109882356	04	Spring	ratio	ratio	amino acid
putrescine_bp	2011-04-14	-0.20533223225624908	04	Spring	intracellular	bp	organonitrogen compound
putrescine_ratio	2011-04-14	-0.5992779496314693	04	Spring	ratio	ratio	organonitrogen compound
serine_ratio	2011-04-14	-0.5354911971721608	04	Spring	ratio	ratio	amino acid
sucrose_ratio	2011-04-14	-0.4535810525770272	04	Spring	ratio	ratio	carbohydrate
threonine_ratio	2011-04-14	-0.4285212429954399	04	Spring	ratio	ratio	amino acid
1-monopalmitoylglycerol_bnp	2011-04-21	-0.4447173900384832	04	Spring	intracellular	bnp	lipid related
1-monopalmitoylglycerol_snp	2011-04-21	-0.3848289696650288	04	Spring	extracellular	snp	lipid related
1-oleoylglycerol_bnp	2011-04-21	-0.4618897304883361	04	Spring	intracellular	bnp	lipid related
1-oleoylglycerol_snp	2011-04-21	-0.3425763383767647	04	Spring	extracellular	snp	lipid related
2-oleoylglycerol_bnp	2011-04-21	-0.4924357690973614	04	Spring	intracellular	bnp	lipid related
2-oleoylglycerol_ratio	2011-04-21	3.2005796144739755	04	Spring	ratio	ratio	lipid related
2-oleoylglycerol_snp	2011-04-21	-0.32588217419619236	04	Spring	extracellular	snp	lipid related
alanine_bp	2011-04-21	-0.40178456206743957	04	Spring	intracellular	bp	amino acid
alanine_sp	2011-04-21	0.4668298884637349	04	Spring	extracellular	sp	amino acid
aspartic acid_ratio	2011-04-21	-0.46761319158982284	04	Spring	ratio	ratio	amino acid
BB1_dry-mass_pcparams	2011-04-21	-1.3141653894503893	04	Spring	online	pcparams	NA
BB1_pH_pcparams	2011-04-21	0.9610054763034235	04	Spring	online	pcparams	pH
cellobiose_sp	2011-04-21	-0.18143364021283717	04	Spring	extracellular	sp	carbohydrate
cholesterol_ratio	2011-04-21	-0.5097586364669902	04	Spring	ratio	ratio	lipid related
cholesterol_snp	2011-04-21	0.16152783312271973	04	Spring	extracellular	snp	lipid related
glutamic acid_ratio	2011-04-21	-0.6514819925147254	04	Spring	ratio	ratio	amino acid
glyceric acid_ratio	2011-04-21	0.635033730352818	04	Spring	ratio	ratio	lipid related
glycerol 2-phosphate_ratio	2011-04-21	-0.5837958160186686	04	Spring	ratio	ratio	lipid related
glycerol_bp	2011-04-21	-0.3429477243353487	04	Spring	intracellular	bp	lipid related
glycerol_sp	2011-04-21	-0.47223456320237284	04	Spring	extracellular	sp	lipid related
glycerol-3-phosphate_ratio	2011-04-21	-0.36115049907300584	04	Spring	ratio	ratio	lipid related
hexadecanoic acid_snp	2011-04-21	-0.22468010562631932	04	Spring	extracellular	snp	lipid related
hexadecenoic acid_snp	2011-04-21	-0.35322803772029926	04	Spring	extracellular	snp	lipid related
lactose_ratio	2011-04-21	-0.0890334383972962	04	Spring	ratio	ratio	carbohydrate
lactose_sp	2011-04-21	-0.18740560608270523	04	Spring	extracellular	sp	carbohydrate
mannitol_ratio	2011-04-21	-0.5881755912040268	04	Spring	ratio	ratio	carbohydrate
mannose_bp	2011-04-21	-0.44638448620167626	04	Spring	intracellular	bp	carbohydrate
mannose_ratio	2011-04-21	0.37941661533358156	04	Spring	ratio	ratio	carbohydrate
mannose_sp	2011-04-21	-0.5062495657167978	04	Spring	extracellular	sp	carbohydrate
nitrate_pcparams	2011-04-21	0.10319716696876655	04	Spring	online	pcparams	NA
octadecadienoic acid_snp	2011-04-21	-0.3274087335141735	04	Spring	extracellular	snp	lipid related
octadecan-1-ol_snp	2011-04-21	-0.1966064720780182	04	Spring	extracellular	snp	lipid related
octadecenoic acid_snp	2011-04-21	-0.3166542509152805	04	Spring	extracellular	snp	lipid related
outflow conductivity_pcparams	2011-04-21	0.6426432907218863	04	Spring	online	pcparams	conductivity
proline_ratio	2011-04-21	-0.6167383251254803	04	Spring	ratio	ratio	amino acid
putrescine_bp	2011-04-21	-0.39162378319893176	04	Spring	intracellular	bp	organonitrogen compound
putrescine_ratio	2011-04-21	-0.7523717915452611	04	Spring	ratio	ratio	organonitrogen compound
serine_ratio	2011-04-21	-0.533286040947449	04	Spring	ratio	ratio	amino acid
sucrose_ratio	2011-04-21	-0.7767291674197266	04	Spring	ratio	ratio	carbohydrate
threonine_ratio	2011-04-21	-0.48290205698988614	04	Spring	ratio	ratio	amino acid
1-monopalmitoylglycerol_bnp	2011-04-29	-0.4461177169241492	04	Spring	intracellular	bnp	lipid related
1-monopalmitoylglycerol_snp	2011-04-29	-0.2748619556207856	04	Spring	extracellular	snp	lipid related
1-oleoylglycerol_bnp	2011-04-29	-0.5498375104377176	04	Spring	intracellular	bnp	lipid related
1-oleoylglycerol_snp	2011-04-29	-0.29435640644582356	04	Spring	extracellular	snp	lipid related
2-oleoylglycerol_bnp	2011-04-29	-0.5460577973612706	04	Spring	intracellular	bnp	lipid related
2-oleoylglycerol_ratio	2011-04-29	6.148958289174496	04	Spring	ratio	ratio	lipid related
2-oleoylglycerol_snp	2011-04-29	-0.3355360400057617	04	Spring	extracellular	snp	lipid related
alanine_bp	2011-04-29	1.1349890367502544	04	Spring	intracellular	bp	amino acid
alanine_sp	2011-04-29	-0.31766721383940505	04	Spring	extracellular	sp	amino acid
aspartic acid_ratio	2011-04-29	-0.2782328101900565	04	Spring	ratio	ratio	amino acid
BB1_dry-mass_pcparams	2011-04-29	-0.8222457444907757	04	Spring	online	pcparams	NA
BB1_pH_pcparams	2011-04-29	0.7961660848393207	04	Spring	online	pcparams	pH
cellobiose_sp	2011-04-29	-0.43936501783486653	04	Spring	extracellular	sp	carbohydrate
cholesterol_ratio	2011-04-29	-0.4729757304198366	04	Spring	ratio	ratio	lipid related
cholesterol_snp	2011-04-29	0.6071550768280487	04	Spring	extracellular	snp	lipid related
glutamic acid_ratio	2011-04-29	-0.30545188660609707	04	Spring	ratio	ratio	amino acid
glyceric acid_ratio	2011-04-29	-0.04082566037893202	04	Spring	ratio	ratio	lipid related
glycerol 2-phosphate_ratio	2011-04-29	-0.030898007171674152	04	Spring	ratio	ratio	lipid related
glycerol_bp	2011-04-29	-0.40673674499967793	04	Spring	intracellular	bp	lipid related
glycerol_sp	2011-04-29	-0.542021013978566	04	Spring	extracellular	sp	lipid related
glycerol-3-phosphate_ratio	2011-04-29	-0.5083769648037874	04	Spring	ratio	ratio	lipid related
hexadecanoic acid_snp	2011-04-29	-0.1705028578329282	04	Spring	extracellular	snp	lipid related
hexadecenoic acid_snp	2011-04-29	-0.37510270078996866	04	Spring	extracellular	snp	lipid related
lactose_ratio	2011-04-29	0.3749765464817211	04	Spring	ratio	ratio	carbohydrate
lactose_sp	2011-04-29	-0.36671747098097995	04	Spring	extracellular	sp	carbohydrate
mannitol_ratio	2011-04-29	-0.08756995120122338	04	Spring	ratio	ratio	carbohydrate
mannose_bp	2011-04-29	0.08080718584163103	04	Spring	intracellular	bp	carbohydrate
mannose_ratio	2011-04-29	0.24904222079097207	04	Spring	ratio	ratio	carbohydrate
mannose_sp	2011-04-29	-0.5455467839807744	04	Spring	extracellular	sp	carbohydrate
nitrate_pcparams	2011-04-29	-0.25542211613655624	04	Spring	online	pcparams	NA
octadecadienoic acid_snp	2011-04-29	-0.36105724634387343	04	Spring	extracellular	snp	lipid related
octadecan-1-ol_snp	2011-04-29	-0.2184414601091851	04	Spring	extracellular	snp	lipid related
octadecenoic acid_snp	2011-04-29	-0.3352251479178707	04	Spring	extracellular	snp	lipid related
outflow conductivity_pcparams	2011-04-29	-0.8980643223763901	04	Spring	online	pcparams	conductivity
proline_ratio	2011-04-29	-0.11711574484263894	04	Spring	ratio	ratio	amino acid
putrescine_bp	2011-04-29	0.263888422088289	04	Spring	intracellular	bp	organonitrogen compound
putrescine_ratio	2011-04-29	-0.06890864681635707	04	Spring	ratio	ratio	organonitrogen compound
serine_ratio	2011-04-29	-0.35644078727613143	04	Spring	ratio	ratio	amino acid
sucrose_ratio	2011-04-29	-0.510789981704781	04	Spring	ratio	ratio	carbohydrate
threonine_ratio	2011-04-29	-0.2991881454662477	04	Spring	ratio	ratio	amino acid
1-monopalmitoylglycerol_bnp	2011-05-06	-0.4246964450501931	05	Spring	intracellular	bnp	lipid related
1-monopalmitoylglycerol_snp	2011-05-06	-0.3848289696650288	05	Spring	extracellular	snp	lipid related
1-oleoylglycerol_bnp	2011-05-06	-0.46437968372946326	05	Spring	intracellular	bnp	lipid related
1-oleoylglycerol_snp	2011-05-06	-0.3558250664049707	05	Spring	extracellular	snp	lipid related
2-oleoylglycerol_bnp	2011-05-06	-0.46534458865218464	05	Spring	intracellular	bnp	lipid related
2-oleoylglycerol_ratio	2011-05-06	NA	05	Spring	ratio	ratio	lipid related
2-oleoylglycerol_snp	2011-05-06	-0.3373024682120554	05	Spring	extracellular	snp	lipid related
alanine_bp	2011-05-06	1.2319862187232402	05	Spring	intracellular	bp	amino acid
alanine_sp	2011-05-06	1.6261185676300614	05	Spring	extracellular	sp	amino acid
aspartic acid_ratio	2011-05-06	-0.2196911061512269	05	Spring	ratio	ratio	amino acid
BB1_dry-mass_pcparams	2011-05-06	-0.3209670302773348	05	Spring	online	pcparams	NA
BB1_pH_pcparams	2011-05-06	0.9679861326616215	05	Spring	online	pcparams	pH
cellobiose_sp	2011-05-06	-0.17074851013374606	05	Spring	extracellular	sp	carbohydrate
cholesterol_ratio	2011-05-06	0.4770229777111155	05	Spring	ratio	ratio	lipid related
cholesterol_snp	2011-05-06	-0.34530331577242607	05	Spring	extracellular	snp	lipid related
glutamic acid_ratio	2011-05-06	-0.7421894211411231	05	Spring	ratio	ratio	amino acid
glyceric acid_ratio	2011-05-06	-0.46507787116958793	05	Spring	ratio	ratio	lipid related
glycerol 2-phosphate_ratio	2011-05-06	-0.5599673548926704	05	Spring	ratio	ratio	lipid related
glycerol_bp	2011-05-06	-0.33059638502356364	05	Spring	intracellular	bp	lipid related
glycerol_sp	2011-05-06	-0.46783372331292405	05	Spring	extracellular	sp	lipid related
glycerol-3-phosphate_ratio	2011-05-06	-0.14703778571228637	05	Spring	ratio	ratio	lipid related
hexadecanoic acid_snp	2011-05-06	-0.3414399409196136	05	Spring	extracellular	snp	lipid related
hexadecenoic acid_snp	2011-05-06	-0.38142765367924286	05	Spring	extracellular	snp	lipid related
lactose_ratio	2011-05-06	1.7326743589643034	05	Spring	ratio	ratio	carbohydrate
lactose_sp	2011-05-06	-0.22102172093496786	05	Spring	extracellular	sp	carbohydrate
mannitol_ratio	2011-05-06	-0.6443398595549101	05	Spring	ratio	ratio	carbohydrate
mannose_bp	2011-05-06	-0.046397888379980524	05	Spring	intracellular	bp	carbohydrate
mannose_ratio	2011-05-06	0.41221210829235466	05	Spring	ratio	ratio	carbohydrate
mannose_sp	2011-05-06	-0.3627099856757834	05	Spring	extracellular	sp	carbohydrate
nitrate_pcparams	2011-05-06	-0.16048348427833892	05	Spring	online	pcparams	NA
octadecadienoic acid_snp	2011-05-06	-0.3492089872044514	05	Spring	extracellular	snp	lipid related
octadecan-1-ol_snp	2011-05-06	-0.1713725253436092	05	Spring	extracellular	snp	lipid related
octadecenoic acid_snp	2011-05-06	-0.3163621359709248	05	Spring	extracellular	snp	lipid related
outflow conductivity_pcparams	2011-05-06	0.403250981620743	05	Spring	online	pcparams	conductivity
proline_ratio	2011-05-06	-0.9464795220734286	05	Spring	ratio	ratio	amino acid
putrescine_bp	2011-05-06	0.18988871334219906	05	Spring	intracellular	bp	organonitrogen compound
putrescine_ratio	2011-05-06	-0.7181564349588173	05	Spring	ratio	ratio	organonitrogen compound
serine_ratio	2011-05-06	-0.45895500456879607	05	Spring	ratio	ratio	amino acid
sucrose_ratio	2011-05-06	-1.2881050443436262	05	Spring	ratio	ratio	carbohydrate
threonine_ratio	2011-05-06	-0.6074176602343276	05	Spring	ratio	ratio	amino acid
1-monopalmitoylglycerol_bnp	2011-05-13	-0.5617708327188017	05	Spring	intracellular	bnp	lipid related
1-monopalmitoylglycerol_snp	2011-05-13	-0.3848289696650288	05	Spring	extracellular	snp	lipid related
1-oleoylglycerol_bnp	2011-05-13	-0.5772565229027383	05	Spring	intracellular	bnp	lipid related
1-oleoylglycerol_snp	2011-05-13	-0.35302084582640353	05	Spring	extracellular	snp	lipid related
2-oleoylglycerol_bnp	2011-05-13	-0.5583550301951776	05	Spring	intracellular	bnp	lipid related
2-oleoylglycerol_ratio	2011-05-13	NA	05	Spring	ratio	ratio	lipid related
2-oleoylglycerol_snp	2011-05-13	-0.3373024682120554	05	Spring	extracellular	snp	lipid related
alanine_bp	2011-05-13	1.4028839516339298	05	Spring	intracellular	bp	amino acid
alanine_sp	2011-05-13	0.7094405001764424	05	Spring	extracellular	sp	amino acid
aspartic acid_ratio	2011-05-13	-0.09550824158818837	05	Spring	ratio	ratio	amino acid
BB1_dry-mass_pcparams	2011-05-13	0.13408382553629625	05	Spring	online	pcparams	NA
BB1_pH_pcparams	2011-05-13	0.6991839854596198	05	Spring	online	pcparams	pH
cellobiose_sp	2011-05-13	-0.23050888260198904	05	Spring	extracellular	sp	carbohydrate
cholesterol_ratio	2011-05-13	0.01213444646836767	05	Spring	ratio	ratio	lipid related
cholesterol_snp	2011-05-13	-0.42942905072566956	05	Spring	extracellular	snp	lipid related
glutamic acid_ratio	2011-05-13	-0.45424683091884177	05	Spring	ratio	ratio	amino acid
